model_id,protocol,calibration,evaluation,metric_key,metric_value,sample_count,validation_path
dense,dense,none,mmbench,"exact_match_score,none",74.39862542955326,4329,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/dense/mmbench/validation_mmbench.json
dense,dense,none,mmmu,"exact_match_score,none",37.56,900,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/dense/mmmu/validation_mmmu.json
dense,dense,none,okvqa,"exact_match,none",0.4773285770907649,5046,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/dense/okvqa/validation_okvqa.json
joint_mmbench,joint,mmbench,mmbench,"exact_match_score,none",56.786941580756015,4329,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/joint_mmbench/mmbench/validation_mmbench.json
joint_mmbench,joint,mmbench,mmmu,"exact_match_score,none",30.56,900,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/joint_mmbench/mmmu/validation_mmmu.json
joint_mmbench,joint,mmbench,okvqa,"exact_match,none",0.35124851367419735,5046,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/joint_mmbench/okvqa/validation_okvqa.json
joint_mmmu,joint,mmmu,mmbench,"exact_match_score,none",48.797250859106526,4329,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/joint_mmmu/mmbench/validation_mmbench.json
joint_mmmu,joint,mmmu,mmmu,"exact_match_score,none",28.44,900,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/joint_mmmu/mmmu/validation_mmmu.json
joint_mmmu,joint,mmmu,okvqa,"exact_match,none",0.30003963535473643,5046,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/joint_mmmu/okvqa/validation_okvqa.json
joint_okvqa,joint,okvqa,mmbench,"exact_match_score,none",47.33676975945017,4329,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/joint_okvqa/mmbench/validation_mmbench.json
joint_okvqa,joint,okvqa,mmmu,"exact_match_score,none",26.78,900,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/joint_okvqa/mmmu/validation_mmmu.json
joint_okvqa,joint,okvqa,okvqa,"exact_match,none",0.3593737613951645,5046,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/joint_okvqa/okvqa/validation_okvqa.json
separate_mmbench,separate,mmbench,mmbench,"exact_match_score,none",57.0446735395189,4329,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/separate_mmbench/mmbench/validation_mmbench.json
separate_mmbench,separate,mmbench,mmmu,"exact_match_score,none",27.56,900,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/separate_mmbench/mmmu/validation_mmmu.json
separate_mmbench,separate,mmbench,okvqa,"exact_match,none",0.3309948474038843,5046,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/separate_mmbench/okvqa/validation_okvqa.json
separate_mmmu,separate,mmmu,mmbench,"exact_match_score,none",48.71134020618557,4329,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/separate_mmmu/mmbench/validation_mmbench.json
separate_mmmu,separate,mmmu,mmmu,"exact_match_score,none",28.78,900,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/separate_mmmu/mmmu/validation_mmmu.json
separate_mmmu,separate,mmmu,okvqa,"exact_match,none",0.28902100673801034,5046,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/separate_mmmu/okvqa/validation_okvqa.json
separate_okvqa,separate,okvqa,mmbench,"exact_match_score,none",49.828178694158076,4329,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/separate_okvqa/mmbench/validation_mmbench.json
separate_okvqa,separate,okvqa,mmmu,"exact_match_score,none",27.56,900,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/separate_okvqa/mmmu/validation_mmmu.json
separate_okvqa,separate,okvqa,okvqa,"exact_match,none",0.3526753864447087,5046,/private/workspace/hycui/Results/mfs/cosmos_wanda_full_matrix_20260828_bf16_s50_n128_seed42_v2_imagecap1m/eval/separate_okvqa/okvqa/validation_okvqa.json
