ckpt,calibration_name,discipline,n,accuracy
okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,OVERALL,9702,25.8100
okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Art & Design,714,35.4300
okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Business,1369,26.4400
okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Science,2891,22.7600
okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Health & Medicine,1634,25.2800
okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Humanities & Social Science,1157,31.2900
okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Art_Design-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Tech & Engineering,1937,23.5400
okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,OVERALL,9702,25.2100
okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Art & Design,714,35.1500
okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Business,1369,25.4900
okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Science,2891,22.7600
okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Health & Medicine,1634,25.7600
okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Humanities & Social Science,1157,26.9700
okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Business-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Tech & Engineering,1937,23.4900
okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,OVERALL,9702,25.0200
okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Art & Design,714,31.5100
okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Business,1369,24.6200
okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8.pth,okvqa_mmmu_Health_Medicine-blipt5_wanda_pruner_0.5-1.0-1.0_MEZO-GradOnly_sum0.6_block_bs8,Science,2891,22.7300
