category,fullprecision,okvqa_eval,calibBCP,calibOMC,calibOther,calibPA,calibPEL,calibSR,calibST,calibVT,calibWC,mean
VT,36.95,13.85,16.56,15.13,14.29,12.79,16.61,14.34,12.05,12.74,13.63,16.27
BCP,37.56,11.86,20.93,16.40,20.70,12.33,20.93,19.77,14.07,12.79,9.77,17.92
OMC,41.45,14.02,17.71,19.81,14.63,14.72,20.00,17.57,12.62,12.57,14.44,18.14
SR,42.22,16.08,18.62,16.01,13.30,12.38,20.39,11.85,10.23,10.97,17.53,17.23
CF,42.26,12.72,16.35,14.63,15.93,13.84,15.88,15.73,11.90,11.20,10.53,16.45
GHLC,43.40,13.48,11.49,11.77,8.79,10.78,14.33,13.05,8.51,9.79,10.78,14.20
PEL,41.54,14.63,18.22,16.64,15.56,13.93,20.19,13.93,14.95,13.55,12.66,17.80
PA,40.81,8.49,8.23,11.00,11.93,10.37,9.02,10.05,8.07,8.49,8.65,12.28
ST,34.52,8.81,17.38,10.48,22.38,12.86,20.00,18.33,10.24,14.29,10.48,16.34
WC,44.34,26.20,22.17,24.34,22.17,25.12,25.58,22.02,20.47,20.78,23.41,25.15
Other,43.17,14.18,17.74,17.51,16.67,14.12,20.32,15.96,13.51,13.15,13.31,18.15
mean,40.75,14.03,16.85,15.79,16.03,13.93,18.48,15.69,12.42,12.76,13.20,17.27
