model_id,protocol,calibration,algorithm_variant,alpha,target_ar_sparsity,achieved_ar_sparsity,evaluation,metric_key,metric_value,sample_count,validation_path
dense,dense,none,dense,,,,mmbench,"exact_match_score,none",74.39862542955326,4329,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/dense/mmbench/validation_mmbench.json
dense,dense,none,dense,,,,mmmu,"exact_match_score,none",37.56,900,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/dense/mmmu/validation_mmmu.json
dense,dense,none,dense,,,,okvqa,"exact_match,none",0.4773285770907649,5046,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/dense/okvqa/validation_okvqa.json
joint_mmbench,joint,mmbench,official_multimodal_visual_cosine,1.0,0.5,0.5,mmbench,"exact_match_score,none",65.97938144329896,4329,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/joint_mmbench/mmbench/validation_mmbench.json
joint_mmbench,joint,mmbench,official_multimodal_visual_cosine,1.0,0.5,0.5,mmmu,"exact_match_score,none",32.11,900,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/joint_mmbench/mmmu/validation_mmmu.json
joint_mmbench,joint,mmbench,official_multimodal_visual_cosine,1.0,0.5,0.5,okvqa,"exact_match,none",0.4154577883472057,5046,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/joint_mmbench/okvqa/validation_okvqa.json
joint_mmmu,joint,mmmu,official_multimodal_visual_cosine,1.0,0.5,0.5,mmbench,"exact_match_score,none",61.769759450171826,4329,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/joint_mmmu/mmbench/validation_mmbench.json
joint_mmmu,joint,mmmu,official_multimodal_visual_cosine,1.0,0.5,0.5,mmmu,"exact_match_score,none",31.89,900,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/joint_mmmu/mmmu/validation_mmmu.json
joint_mmmu,joint,mmmu,official_multimodal_visual_cosine,1.0,0.5,0.5,okvqa,"exact_match,none",0.3746730083234245,5046,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/joint_mmmu/okvqa/validation_okvqa.json
joint_okvqa,joint,okvqa,official_multimodal_visual_cosine,1.0,0.5,0.5,mmbench,"exact_match_score,none",58.76288659793815,4329,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/joint_okvqa/mmbench/validation_mmbench.json
joint_okvqa,joint,okvqa,official_multimodal_visual_cosine,1.0,0.5,0.5,mmmu,"exact_match_score,none",30.44,900,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/joint_okvqa/mmmu/validation_mmmu.json
joint_okvqa,joint,okvqa,official_multimodal_visual_cosine,1.0,0.5,0.5,okvqa,"exact_match,none",0.4107808164883075,5046,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/joint_okvqa/okvqa/validation_okvqa.json
separate_mmbench,separate,mmbench,text_only_zero_visual_ablation,1.0,0.5,0.5,mmbench,"exact_match_score,none",64.08934707903781,4329,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/separate_mmbench/mmbench/validation_mmbench.json
separate_mmbench,separate,mmbench,text_only_zero_visual_ablation,1.0,0.5,0.5,mmmu,"exact_match_score,none",28.67,900,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/separate_mmbench/mmmu/validation_mmmu.json
separate_mmbench,separate,mmbench,text_only_zero_visual_ablation,1.0,0.5,0.5,okvqa,"exact_match,none",0.3923900118906064,5046,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/separate_mmbench/okvqa/validation_okvqa.json
separate_mmmu,separate,mmmu,text_only_zero_visual_ablation,1.0,0.5,0.5,mmbench,"exact_match_score,none",60.65292096219931,4329,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/separate_mmmu/mmbench/validation_mmbench.json
separate_mmmu,separate,mmmu,text_only_zero_visual_ablation,1.0,0.5,0.5,mmmu,"exact_match_score,none",29.11,900,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/separate_mmmu/mmmu/validation_mmmu.json
separate_mmmu,separate,mmmu,text_only_zero_visual_ablation,1.0,0.5,0.5,okvqa,"exact_match,none",0.3676971858898137,5046,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/separate_mmmu/okvqa/validation_okvqa.json
separate_okvqa,separate,okvqa,text_only_zero_visual_ablation,1.0,0.5,0.5,mmbench,"exact_match_score,none",55.927835051546396,4329,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/separate_okvqa/mmbench/validation_mmbench.json
separate_okvqa,separate,okvqa,text_only_zero_visual_ablation,1.0,0.5,0.5,mmmu,"exact_match_score,none",30.11,900,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/separate_okvqa/mmmu/validation_mmmu.json
separate_okvqa,separate,okvqa,text_only_zero_visual_ablation,1.0,0.5,0.5,okvqa,"exact_match,none",0.3850574712643678,5046,/private/workspace/hycui/Results/mfs/cosmos_atv_full_matrix_20260828_bf16_ar50_n128_seed42_alpha1_v1/eval/separate_okvqa/okvqa/validation_okvqa.json
