model_id,protocol,calibration,evaluation,metric_key,metric_value,sample_count,validation_path
dense,dense,none,mmbench,"exact_match_score,none",74.39862542955326,4329,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/dense/mmbench/validation_mmbench.json
dense,dense,none,mmmu,"exact_match_score,none",37.56,900,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/dense/mmmu/validation_mmmu.json
dense,dense,none,okvqa,"exact_match,none",0.4773285770907649,5046,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/dense/okvqa/validation_okvqa.json
joint_mmbench,joint,mmbench,mmbench,"exact_match_score,none",63.05841924398625,4329,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/joint_mmbench/mmbench/validation_mmbench.json
joint_mmbench,joint,mmbench,mmmu,"exact_match_score,none",31.56,900,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/joint_mmbench/mmmu/validation_mmmu.json
joint_mmbench,joint,mmbench,okvqa,"exact_match,none",0.38363059849385645,5046,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/joint_mmbench/okvqa/validation_okvqa.json
joint_mmmu,joint,mmmu,mmbench,"exact_match_score,none",56.70103092783505,4329,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/joint_mmmu/mmbench/validation_mmbench.json
joint_mmmu,joint,mmmu,mmmu,"exact_match_score,none",30.56,900,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/joint_mmmu/mmmu/validation_mmmu.json
joint_mmmu,joint,mmmu,okvqa,"exact_match,none",0.3355132778438367,5046,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/joint_mmmu/okvqa/validation_okvqa.json
joint_okvqa,joint,okvqa,mmbench,"exact_match_score,none",47.508591065292094,4329,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/joint_okvqa/mmbench/validation_mmbench.json
joint_okvqa,joint,okvqa,mmmu,"exact_match_score,none",26.11,900,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/joint_okvqa/mmmu/validation_mmmu.json
joint_okvqa,joint,okvqa,okvqa,"exact_match,none",0.39738406658739595,5046,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/joint_okvqa/okvqa/validation_okvqa.json
separate_mmbench,separate,mmbench,mmbench,"exact_match_score,none",63.144329896907216,4329,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/separate_mmbench/mmbench/validation_mmbench.json
separate_mmbench,separate,mmbench,mmmu,"exact_match_score,none",30.89,900,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/separate_mmbench/mmmu/validation_mmmu.json
separate_mmbench,separate,mmbench,okvqa,"exact_match,none",0.36329766151407056,5046,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/separate_mmbench/okvqa/validation_okvqa.json
separate_mmmu,separate,mmmu,mmbench,"exact_match_score,none",56.529209621993125,4329,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/separate_mmmu/mmbench/validation_mmbench.json
separate_mmmu,separate,mmmu,mmmu,"exact_match_score,none",28.22,900,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/separate_mmmu/mmmu/validation_mmmu.json
separate_mmmu,separate,mmmu,okvqa,"exact_match,none",0.31858898137138325,5046,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/separate_mmmu/okvqa/validation_okvqa.json
separate_okvqa,separate,okvqa,mmbench,"exact_match_score,none",11.597938144329897,4329,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/separate_okvqa/mmbench/validation_mmbench.json
separate_okvqa,separate,okvqa,mmmu,"exact_match_score,none",27.33,900,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/separate_okvqa/mmmu/validation_mmmu.json
separate_okvqa,separate,okvqa,okvqa,"exact_match,none",0.20760998810939357,5046,/private/workspace/hycui/Results/mfs/cosmos_sparsegpt_full_matrix_20260828_bf16_s50_n128_seed42_v2_transductive/eval/separate_okvqa/okvqa/validation_okvqa.json
