model_id,protocol,calibration,algorithm_variant,max_sparsity_per_linear,target_ar_sparsity,achieved_ar_sparsity,evaluation,metric_key,metric_value,sample_count,validation_path
dense,dense,none,dense,,,,mmbench,"exact_match_score,none",74.39862542955326,4329,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/dense/mmbench/validation_mmbench.json
dense,dense,none,dense,,,,mmmu,"exact_match_score,none",37.56,900,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/dense/mmmu/validation_mmmu.json
dense,dense,none,dense,,,,okvqa,"exact_match,none",0.4773285770907649,5046,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/dense/okvqa/validation_okvqa.json
joint_mmbench,joint,mmbench,joint_multimodal_reasoner_ar,0.6,0.5,0.49982125418526785,mmbench,"exact_match_score,none",55.154639175257735,4329,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/joint_mmbench/mmbench/validation_mmbench.json
joint_mmbench,joint,mmbench,joint_multimodal_reasoner_ar,0.6,0.5,0.49982125418526785,mmmu,"exact_match_score,none",31.0,900,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/joint_mmbench/mmmu/validation_mmmu.json
joint_mmbench,joint,mmbench,joint_multimodal_reasoner_ar,0.6,0.5,0.49982125418526785,okvqa,"exact_match,none",0.2805390408244154,5046,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/joint_mmbench/okvqa/validation_okvqa.json
joint_mmmu,joint,mmmu,joint_multimodal_reasoner_ar,0.6,0.5,0.4998372395833333,mmbench,"exact_match_score,none",52.66323024054983,4329,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/joint_mmmu/mmbench/validation_mmbench.json
joint_mmmu,joint,mmmu,joint_multimodal_reasoner_ar,0.6,0.5,0.4998372395833333,mmmu,"exact_match_score,none",30.44,900,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/joint_mmmu/mmmu/validation_mmmu.json
joint_mmmu,joint,mmmu,joint_multimodal_reasoner_ar,0.6,0.5,0.4998372395833333,okvqa,"exact_match,none",0.3145858105430044,5046,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/joint_mmmu/okvqa/validation_okvqa.json
joint_okvqa,joint,okvqa,joint_multimodal_reasoner_ar,0.6,0.5,0.4997987293061756,mmbench,"exact_match_score,none",49.312714776632305,4329,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/joint_okvqa/mmbench/validation_mmbench.json
joint_okvqa,joint,okvqa,joint_multimodal_reasoner_ar,0.6,0.5,0.4997987293061756,mmmu,"exact_match_score,none",28.67,900,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/joint_okvqa/mmmu/validation_mmmu.json
joint_okvqa,joint,okvqa,joint_multimodal_reasoner_ar,0.6,0.5,0.4997987293061756,okvqa,"exact_match,none",0.3703131193024177,5046,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/joint_okvqa/okvqa/validation_okvqa.json
separate_mmbench,separate,mmbench,separate_text_only_reasoner_ar,0.6,0.5,0.4998321533203125,mmbench,"exact_match_score,none",0.6013745704467355,4329,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/separate_mmbench/mmbench/validation_mmbench.json
separate_mmbench,separate,mmbench,separate_text_only_reasoner_ar,0.6,0.5,0.4998321533203125,mmmu,"exact_match_score,none",26.11,900,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/separate_mmbench/mmmu/validation_mmmu.json
separate_mmbench,separate,mmbench,separate_text_only_reasoner_ar,0.6,0.5,0.4998321533203125,okvqa,"exact_match,none",0.016726119698771306,5046,/private/workspace/hycui/Results/mfs/cosmos_tamp_full_matrix_20260828_bf16_s50_cap60_n128_seed42_v1/eval/separate_mmbench/okvqa/validation_okvqa.json
